,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
33,Wales,England,0.0,4.0,British Championship,Wales,False,Away,1884,Europe
34,Scotland,Wales,4.0,1.0,British Championship,Scotland,False,Home,1884,Europe
35,England,Northern Ireland,4.0,0.0,British Championship,England,False,Home,1885,Europe
36,England,Wales,1.0,1.0,British Championship,England,False,Draw,1885,Europe
37,Scotland,Northern Ireland,8.0,2.0,British Championship,Scotland,False,Home,1885,Europe
38,England,Scotland,1.0,1.0,British Championship,England,False,Draw,1885,Europe
39,Wales,Scotland,1.0,8.0,British Championship,Wales,False,Away,1885,Europe
40,Northern Ireland,Wales,2.0,8.0,British Championship,Republic of Ireland,False,Away,1885,Europe
41,USA,Canada,0.0,1.0,Friendly,USA,False,Away,1885,America
42,Wales,Northern Ireland,5.0,0.0,British Championship,Wales,False,Home,1886,Europe
43,Northern Ireland,England,1.0,6.0,British Championship,Republic of Ireland,False,Away,1886,Europe
44,Northern Ireland,Scotland,2.0,7.0,British Championship,Republic of Ireland,False,Away,1886,Europe
45,Scotland,England,1.0,1.0,British Championship,Scotland,False,Draw,1886,Europe
